Month,Carrier Service Level (%),Container Turnaround Time (mins),Port Botany Rail Servicing (lifts per hour),Stevedore Service Level (%)
Mar-16,96.95%,16.3,40.6,94.82%
Apr-16,96.60%,16.9,40.3,95.41%
May-16,97.06%,17.4,38.3,95.14%
Jun-16,96.81%,19.9,38.4,92.13%
Jul-16,96.99%,17.6,40.5,95.18%
Aug-16,96.36%,19.7,41.2,93.20%
Sep-16,96.41%,17.2,41.5,95.52%
Oct-16,96.18%,18.2,40.1,93.69%
Nov-16,95.80%,17.8,38.7,93.70%
Dec-16,95.40%,17.3,41,93.32%
Jan-17,96.38%,17,40.4,94.20%
Feb-17,96.22%,16.8,40.7,95.43%
Mar-17,96.55%,17.7,41.4,94.49%
Apr-17,94.84%,19.8,37,92.66%
May-17,95.77%,17.7,32,95.11%
Jun-17,95.90%,18,38.9,94.68%
Jul-17,96.60%,18.3,39.7,94.02%
Aug-17,97.88%,18.8,37.5,93.28%
Sep-17,95.13%,19.4,39.5,92.79%
Oct-17,95.29%,18.2,39.5,93.80%
Nov-17,95.43%,18.5,37.9,96.44%
Dec-17,94.59%,17.9,43.6,94.24%
Jan-18,94.87%,20.1,41.1,92.29%
Feb-18,94.90%,20.1,41.5,92.52%
Mar-18,95.30%,18.5,41.6,92.70%
Apr-18,95.10%,19.3,37.4,92.60%
May-18,95.30%,19.6,41,92.20%
Jun-18,93.60%,21.1,38.7,91.70%
Jul-18,95.20%,19.2,37.4,90.90%
Aug-18,95.00%,18.8,39.6,94.00%
Sep-18,94.22%,19.5,36.5,92.62%
Oct-18,91.76%,22.2,37.6,87.13%
Nov-18,93.26%,21.2,38.1,95.50%
Dec-18,90.83%,21.1,38,89.97%
Jan-19,90.60%,23.1,38.7,90.00%
Feb-19,91.91%,23.4,35.5,88.72%
Mar-19,94.82%,21.6,38.6,90.28%
Apr-19,94.67%,22.3,38.8,89.99%
May-19,95.09%,20.8,39.5,91.66%
Jun-19,95.83%,21.2,42,90.62%
Jul-19,95.28%,25.4,43.2,86.58%
Aug-19,95.90%,22.5,43.8,88.74%
Sep-19,92.64%,29,41.7,83.73%
Oct-19,94.06%,27.3,39.9,89.87%
