Origin,Destination,AmountTotal
Blue Mountains,Blue Mountains,134.00
Lachlan Valley,Blue Mountains,0.00
Lithgow - Mudgee,Blue Mountains,95.00
Shoalhaven,Blue Mountains,0.00
Snowy Mountains,Blue Mountains,0.00
Upper Hunter,Blue Mountains,27.00
Lachlan Valley,Lachlan Valley,2389.00
Lithgow - Mudgee,Lachlan Valley,47.00
Snowy Mountains,Lachlan Valley,0.00
Upper Hunter,Lachlan Valley,0.00
Lachlan Valley,Lithgow - Mudgee,4.00
Lithgow - Mudgee,Lithgow - Mudgee,91.00
Shoalhaven,Lithgow - Mudgee,0.00
Snowy Mountains,Lithgow - Mudgee,0.00
Upper Hunter,Lithgow - Mudgee,5.00
Lachlan Valley,Shoalhaven,0.00
Lithgow - Mudgee,Shoalhaven,0.00
Shoalhaven,Shoalhaven,450.00
Snowy Mountains,Shoalhaven,1.00
Upper Hunter,Shoalhaven,31.00
Lachlan Valley,Snowy Mountains,0.00
Lithgow - Mudgee,Snowy Mountains,0.00
Snowy Mountains,Snowy Mountains,391.00
Upper Hunter,Snowy Mountains,0.00
Blue Mountains,Upper Hunter,3.00
Lachlan Valley,Upper Hunter,6.00
Lithgow - Mudgee,Upper Hunter,21.00
Shoalhaven,Upper Hunter,27.00
Snowy Mountains,Upper Hunter,0.00
Upper Hunter,Upper Hunter,51.00
