Month,Misc Edible Prep,Cereal Preps,Spec Transaction,Fruits+Nuts-Fres,Meat Fresh,Dairy Eggs+Honey,Medical Products,Cosmet+Oil+Resin,Vegetables,Printed Matter,Other
Jan-16,"3,015","1,088","1,139","3,825",925,536,207,198,519,270,"3,466"
Feb-16,"1,775",667,"1,471","2,707","1,053",147,256,181,418,410,"4,219"
Mar-16,"4,077","1,312","1,305","1,931","1,091",487,309,242,580,306,"4,914"
Apr-16,"2,768","1,404","1,147","1,378",878,184,277,262,527,351,"5,088"
May-16,"2,943","1,502","1,304","1,245",776,238,301,305,721,291,"4,513"
Jun-16,"2,358","1,159","1,433",972,863,254,259,216,489,298,"5,622"
Jul-16,"2,579","1,239","1,280",991,589,195,339,251,499,327,"4,774"
Aug-16,"2,799","1,198","1,425","1,200",719,135,297,248,645,365,"5,196"
Sep-16,"3,037","1,171","1,398",994,755,182,356,376,731,309,"4,179"
Oct-16,"3,384","1,403","1,554",688,766,372,312,428,560,330,"4,285"
Nov-16,"3,487","1,324","1,594","1,478",873,170,399,312,577,308,"4,679"
Dec-16,"3,323","1,208","1,647","1,994","1,073",151,354,577,550,292,"4,967"
Jan-17,"1,803",863,"1,768","3,017",670,102,201,191,379,219,"3,332"
Feb-17,"2,579","1,202","1,805","3,174",561,113,295,253,456,262,"4,289"
Mar-17,"3,822","1,309","2,022","2,695",808,183,325,306,468,280,"4,377"
Apr-17,"3,023",917,"1,112","1,196",747,235,326,205,381,233,"3,973"
May-17,"3,417","1,176","1,361","1,052",720,483,314,281,563,324,"5,014"
Jun-17,"2,894","1,167","1,306","1,214","1,049",394,284,329,680,304,"4,858"
Jul-17,"2,695","1,195","1,136",834,547,285,374,321,495,345,"4,379"
Aug-17,"3,416","1,309","1,311",701,692,319,299,315,622,340,"4,065"
Sep-17,"3,762","1,504","1,403",987,791,206,365,463,815,372,"4,474"
Oct-17,"4,201","1,888","1,559","1,283",725,468,326,619,899,478,"4,678"
Nov-17,"3,795","1,551","1,905","1,971",959,382,425,646,481,442,"5,001"
Dec-17,"3,671","1,354","1,807","2,822","1,023",484,288,397,420,393,"5,756"
Jan-18,"4,462","1,065","2,105","3,294",734,567,274,380,386,331,"3,354"
Feb-18,"1,840",391,"1,374","3,299",957,289,259,354,349,263,"4,172"
Mar-18,"4,621",840,"2,044","2,100",996,468,449,382,404,310,"4,761"
Apr-18,"3,721",739,"1,696",989,999,392,365,282,451,278,"4,959"
May-18,"2,427","1,491","1,892",824,"1,801",368,390,381,591,367,"7,212"
Jun-18,"1,794","1,842",832,704,"1,444",318,246,257,590,284,"6,431"
Jul-18,"1,547","1,803",803,742,"1,255",315,243,340,704,313,"6,309"
Aug-18,"1,949","2,406",898,700,"1,264",331,267,291,827,395,"5,785"
Sep-18,"2,172","2,653",933,798,"1,294",548,222,375,"1,011",416,"6,398"
Oct-18,"2,255","3,269",977,"1,549","1,218",541,264,641,"1,309",351,"6,330"
Nov-18,"1,700","3,809","1,354","2,891","1,265",520,213,684,512,365,"6,240"
Dec-18,"1,463","3,361","1,303","3,761","1,171",553,278,329,391,312,"5,994"
Jan-19,"1,296","3,295","1,180","4,428","1,150",390,251,247,401,279,"4,141"
Feb-19,"1,109","2,077",924,"2,971","1,139",215,254,297,300,293,"4,440"
Mar-19,"2,060","3,834","1,252","2,865","1,114",361,253,369,331,373,"5,588"
Apr-19,"1,763","3,082",954,"1,429",946,297,412,467,383,290,"4,868"
May-19,"2,200","2,264",953,"1,327","1,271",489,515,493,470,377,"5,469"
Jun-19,"1,681","1,739",763,952,820,547,470,280,440,341,"5,188"
Jul-19,"1,473","1,320",795,"1,027",888,460,375,201,745,301,"4,700"
Aug-19,"1,736","1,436",886,915,949,493,445,236,792,287,"4,814"
Sep-19,"1,389","1,934",825,735,"1,202",389,734,716,860,329,"5,424"
Oct-19,"1,688","1,928",932,"1,479","1,231",546,672,459,711,366,"5,414"
Nov-19,"1,564","2,516",946,"2,873","1,186",467,694,311,455,423,"5,818"
Dec-19,"1,872","2,763",770,"3,761","1,246",343,669,392,482,305,"7,021"
Jan-20,780,"1,306",797,"4,362","1,188",196,478,187,450,296,"4,097"
