Month,"Engines, Machines","Motors, Appliances, Radio, T V",Spectacles Cameras Instruments,Pharmaceutical Goods,Clothes Other,Fruit & Nuts,Polymers Plastics,Fish & Crustaceans,"Clothes, Knitted",Essential Oils Perfumes ,Other
Jan-16,1969,1863,980,932,651,378,363,493,351,293,4153
Feb-16,2377,2023,1080,1057,452,391,496,528,389,399,4979
Mar-16,3016,2635,1199,1334,708,315,620,641,554,388,5572
Apr-16,2760,2274,1103,1027,588,166,631,543,475,413,5427
May-16,2688,2954,1174,914,570,597,608,529,430,383,5725
Jun-16,2632,2945,1185,1051,564,969,537,480,472,328,6131
Jul-16,2745,2513,1190,1027,621,1711,373,433,441,326,5943
Aug-16,2804,2843,1177,999,778,996,456,545,431,424,6144
Sep-16,2573,3335,1098,963,770,455,447,573,446,462,6104
Oct-16,2933,3129,1082,1149,895,528,516,596,448,487,6432
Nov-16,3568,3297,1136,1136,838,222,520,601,494,553,7079
Dec-16,3760,2981,1203,977,753,375,534,623,437,510,5617
Jan-17,2751,2174,1014,1022,780,636,592,535,443,507,4823
Feb-17,2464,2135,959,993,383,1218,401,552,314,438,4882
Mar-17,3070,2902,1232,1188,812,638,589,594,712,577,6428
Apr-17,2805,2822,1076,1017,633,162,551,555,577,427,5575
May-17,3181,2132,791,1030,655,450,700,537,526,279,6215
Jun-17,3247,2943,1197,1062,611,836,513,423,476,383,6240
Jul-17,3035,2201,1259,1100,636,1958,629,440,449,424,6810
Aug-17,3041,2750,1307,1006,740,1633,608,547,520,660,6219
Sep-17,3089,2851,1239,983,737,422,597,498,494,496,5998
Oct-17,3455,3316,1267,1086,957,267,621,552,540,540,7398
Nov-17,3548,3771,1338,1038,902,122,722,598,474,492,7517
Dec-17,3120,3210,1316,1146,691,366,535,561,337,444,6209
Jan-18,2900,2626,1127,1124,710,536,435,594,425,435,5198
Feb-18,2596,2326,1161,1075,561,443,477,500,449,432,5560
Mar-18,"3,324","2,688","1,295","1,342",609,227,699,643,563,669,"5,849"
Apr-18,"3,732","2,655","1,362","1,092",761,133,599,505,674,622,"5,730"
May-18,"3,361","2,887","1,412","1,171",766,232,650,509,643,521,"6,582"
Jun-18,"3,625","3,114","1,339","1,193",605,925,588,427,542,559,"5,997"
Jul-18,"3,690","2,767","1,431",985,712,"1,899",649,469,544,629,"6,399"
Aug-18,"3,350","3,058","1,421","1,132",750,"1,665",750,546,497,718,"6,411"
Sep-18,"3,027","3,304","1,257","1,051",759,577,694,499,504,609,"5,942"
Oct-18,"3,563","3,818","1,381","1,305",936,364,752,561,497,763,"7,192"
Nov-18,"3,667","3,505","1,303","1,115",839,135,775,574,445,656,"7,944"
Dec-18,"3,151","2,803","1,184","1,035",854,342,601,577,431,555,"6,906"
Jan-19,"2,598","2,203","1,067","1,028",692,498,510,515,458,538,"5,338"
Feb-19,"2,417","2,087","1,217","1,018",415,670,498,477,308,847,"5,775"
Mar-19,"3,025","2,033","1,450","1,126",619,383,682,451,477,620,"7,050"
Apr-19,"3,089","1,960","1,343","1,098",687,197,576,515,631,528,"6,436"
May-19,"3,040","1,953","1,368","1,068",620,190,520,428,589,493,"7,213"
Jun-19,"2,978","1,952","1,283",896,510,652,549,334,447,436,"6,398"
Jul-19,"2,923","1,895","1,180","1,165",623,"1,595",583,444,529,576,"7,154"
Aug-19,"2,525","2,055","1,071","1,010",698,"1,578",569,395,425,582,"7,229"
Sep-19,"2,668","2,204","1,106",898,684,555,658,427,413,599,"7,605"
Oct-19,"3,064","2,452","1,249","1,585",777,200,586,486,451,543,"8,180"
Nov-19,"2,961","2,543","1,214","1,072",789,156,552,521,416,536,"8,521"
Dec-19,"2,995","1,821","1,142","1,056",709,237,462,528,414,652,"7,344"
Jan-20,"2,382","1,533",903,"1,052",566,219,516,447,485,"1,088","6,891"
