Origin_Name,Total
Auburn,43
Bankstown,20
Bathurst,4
Baulkham Hills,11
Blacktown,32
Blacktown - North,8
Blue Mountains,1
Botany,177
Bringelly - Green Valley,5
Camden,2
Campbelltown (NSW),9
Canada Bay,1
Canterbury,5
Carlingford,12
Chatswood - Lane Cove,42
Cronulla - Miranda - Caringbah,7
Dapto - Port Kembla,46
Dubbo,0
Dural - Wisemans Ferry,9
Eastern Suburbs - South,1
Fairfield,29
Gosford,20
Goulburn - Yass,9
Griffith - Murrumbidgee (West),0
Hawkesbury,1
Hornsby,89
Inverell - Tenterfield,0
Kempsey - Nambucca,0
Kiama - Shellharbour,17
Kogarah - Rockdale,3
Ku-ring-gai,10
Lake Macquarie - West,3
Lithgow - Mudgee,10
Liverpool,8
Lower Hunter,11
Marrickville - Sydenham - Petersham,12
Merrylands - Guildford,18
Mount Druitt,13
Newcastle,5
Orange,0
Parramatta,90
Pennant Hills - Epping,4
Penrith,14
Pittwater,9
Port Stephens,12
Richmond - Windsor,7
Richmond Valley - Hinterland,0
Rouse Hill - McGraths Hill,3
Ryde - Hunters Hill,9
SA,1
Snowy Mountains,0
South Coast,1
Southern Highlands,2
St Marys,16
Strathfield - Burwood - Ashfield,19
Sutherland - Menai - Heathcote,2
Sydney Inner City,19
Tamworth - Gunnedah,0
Taree - Gloucester,0
Tumut - Tumbarumba,0
Tweed Valley,0
Upper Hunter,52
Upper Murray exc. Albury,0
VIC,3
Wagga Wagga,0
Warringah,66
Wollondilly,10
Wollongong,1
Wyong,1
